============================================================
MAT Pseudo-Grid LWM (Method 2: 8×16) — Pre-training
============================================================
Log file    : mask_aware_tf/mat_pseudo_lwm_weights.log
Device      : cuda
Scenarios   : ['O1_3p5_v1', 'O1_3p5_v2', 'Boston5G_3p5', 'asu_campus1']
AMP         : disabled
Epochs      : 100
Batch size  : 64
LR          : 0.0001 | Weight decay: 1e-05
Scheduler   : StepLR(step=10, gamma=0.9)
Mask ratio  : 0.15
Save path   : mask_aware_tf/mat_pseudo_lwm_weights.pth
------------------------------------------------------------
Dataset — train: 898605, val: 224651, test: 1
============================================================

Epoch 1/100
----------------------------------------
Learning Rate: 0.000100
  step  7200/14041 | loss 31.5044 | data 0.0 ms | step 3.1 ms | 20876.4 samples/s
  step  7250/14041 | loss 31.5611 | data 0.0 ms | step 3.0 ms | 21027.3 samples/s
  step  7300/14041 | loss 33.7706 | data 0.1 ms | step 3.7 ms | 17167.4 samples/s
  step  7350/14041 | loss 34.7814 | data 0.0 ms | step 4.5 ms | 14128.6 samples/s
  step  7400/14041 | loss 33.4540 | data 0.0 ms | step 4.6 ms | 14011.1 samples/s
  step  7450/14041 | loss 33.8000 | data 0.1 ms | step 4.6 ms | 14062.9 samples/s
  step  7500/14041 | loss 29.7061 | data 0.1 ms | step 4.5 ms | 14297.1 samples/s
  step  7550/14041 | loss 31.5157 | data 0.1 ms | step 3.9 ms | 16576.4 samples/s
  step  7600/14041 | loss 31.2762 | data 0.1 ms | step 3.8 ms | 16711.4 samples/s
  step  7650/14041 | loss 34.0536 | data 0.1 ms | step 3.8 ms | 16675.9 samples/s
  step  7700/14041 | loss 29.3811 | data 0.1 ms | step 3.9 ms | 16523.8 samples/s
  step  7750/14041 | loss 31.1765 | data 0.1 ms | step 3.9 ms | 16376.4 samples/s
  step  7800/14041 | loss 33.3254 | data 0.1 ms | step 3.4 ms | 19089.9 samples/s
  step  7850/14041 | loss 34.9072 | data 0.0 ms | step 3.2 ms | 19939.7 samples/s
  step  7900/14041 | loss 32.7454 | data 0.0 ms | step 3.2 ms | 19850.6 samples/s
  step  7950/14041 | loss 38.2891 | data 0.0 ms | step 3.2 ms | 20092.8 samples/s
  step  8000/14041 | loss 32.4288 | data 0.0 ms | step 3.2 ms | 20099.6 samples/s
  step  8050/14041 | loss 32.4945 | data 0.0 ms | step 3.2 ms | 19894.0 samples/s
  step  8100/14041 | loss 32.9795 | data 0.1 ms | step 3.2 ms | 19847.5 samples/s
  step  8150/14041 | loss 28.3278 | data 0.0 ms | step 3.2 ms | 20246.7 samples/s
  step  8200/14041 | loss 29.6635 | data 0.0 ms | step 3.2 ms | 19749.1 samples/s
  step  8250/14041 | loss 29.7386 | data 0.0 ms | step 3.2 ms | 19870.9 samples/s
