============================================================
MAT-ViT-LWM (Method 1: 32×32 ViT) — Pre-training
============================================================
Log file    : mask_aware_tf/mat_vit_lwm_weights.log
Device      : cuda
Scenarios   : ['O1_3p5_v1', 'O1_3p5_v2', 'Boston5G_3p5', 'asu_campus1']
Num workers : 8 | Pin memory: True
AMP         : disabled
Epochs      : 100
Batch size  : 64
LR          : 0.0001 | Weight decay: 1e-05
Scheduler   : StepLR(step=10, gamma=0.9)
Scheduler per batch: False
Seed        : 0
SNR (dB)    : None
Mask ratio  : 0.15
Save path   : mask_aware_tf/mat_vit_lwm_weights.pth
------------------------------------------------------------
Dataset sizes — train: 898605, val: 224651, test: 1
Batches per epoch — train: 14041, val: 3511, test: 1
============================================================

Epoch 1/100
----------------------------------------
Learning Rate: 0.000100
Batch Size   : 64
  step  9300/14041 | loss 0.9985 | data 0.1 ms | step 25.3 ms | 2525.6 samples/s
  step  9350/14041 | loss 0.9598 | data 0.1 ms | step 24.5 ms | 2612.4 samples/s
  step  9400/14041 | loss 0.8755 | data 0.1 ms | step 24.3 ms | 2633.8 samples/s
  step  9450/14041 | loss 0.8818 | data 0.1 ms | step 24.1 ms | 2653.5 samples/s
  step  9500/14041 | loss 0.8713 | data 0.1 ms | step 23.5 ms | 2720.2 samples/s
  step  9550/14041 | loss 0.8044 | data 0.1 ms | step 25.2 ms | 2540.0 samples/s
  step  9600/14041 | loss 1.0758 | data 0.1 ms | step 24.7 ms | 2586.6 samples/s
  step  9650/14041 | loss 0.9749 | data 0.1 ms | step 25.6 ms | 2500.8 samples/s
  step  9700/14041 | loss 0.8563 | data 0.1 ms | step 27.5 ms | 2324.5 samples/s
  step  9750/14041 | loss 1.2976 | data 0.1 ms | step 25.6 ms | 2501.3 samples/s
  step  9800/14041 | loss 1.1343 | data 0.1 ms | step 27.0 ms | 2374.4 samples/s
  step  9850/14041 | loss 0.9542 | data 0.1 ms | step 27.5 ms | 2331.0 samples/s
  step  9900/14041 | loss 1.0371 | data 0.1 ms | step 25.7 ms | 2490.3 samples/s
  step  9950/14041 | loss 0.8607 | data 0.1 ms | step 24.9 ms | 2568.5 samples/s
  step 10000/14041 | loss 0.8818 | data 0.1 ms | step 25.8 ms | 2476.9 samples/s
  step 10050/14041 | loss 1.0501 | data 0.1 ms | step 26.2 ms | 2446.9 samples/s
  step 10100/14041 | loss 0.8265 | data 0.1 ms | step 26.4 ms | 2420.8 samples/s
  step 10150/14041 | loss 0.8481 | data 0.1 ms | step 25.4 ms | 2520.2 samples/s
