Starting DDP Training: World Size 1, Batch Size 256 (Global 256)
Epoch 1
  step   100/1558 | loss 0.0511 | data 0.1 ms | step 141.3 ms | 3624.5 samples/s
  step   150/1558 | loss 0.0573 | data 0.1 ms | step 140.1 ms | 3655.6 samples/s
  step   200/1558 | loss 0.0487 | data 0.1 ms | step 139.5 ms | 3670.7 samples/s
  step   250/1558 | loss 0.0697 | data 0.1 ms | step 140.1 ms | 3655.5 samples/s
  step   300/1558 | loss 0.0668 | data 0.1 ms | step 139.6 ms | 3668.4 samples/s
  step   350/1558 | loss 0.0618 | data 0.1 ms | step 138.6 ms | 3695.1 samples/s
  step   400/1558 | loss 0.0694 | data 0.1 ms | step 139.2 ms | 3677.8 samples/s
  step   450/1558 | loss 0.0668 | data 0.1 ms | step 139.6 ms | 3668.7 samples/s
  step   500/1558 | loss 0.0660 | data 0.1 ms | step 139.4 ms | 3672.5 samples/s
  step   550/1558 | loss 0.0606 | data 0.1 ms | step 142.4 ms | 3595.9 samples/s
  step   600/1558 | loss 0.0591 | data 0.1 ms | step 141.4 ms | 3621.9 samples/s
  step   650/1558 | loss 0.0593 | data 0.1 ms | step 141.4 ms | 3621.2 samples/s
  step   700/1558 | loss 0.0633 | data 0.1 ms | step 141.1 ms | 3628.6 samples/s
  step   750/1558 | loss 0.0576 | data 0.1 ms | step 140.3 ms | 3648.6 samples/s
  step   800/1558 | loss 0.0581 | data 0.1 ms | step 140.3 ms | 3650.4 samples/s
  step   850/1558 | loss 0.0525 | data 0.1 ms | step 139.6 ms | 3668.5 samples/s
  step   900/1558 | loss 0.0551 | data 0.1 ms | step 140.4 ms | 3647.6 samples/s
  step   950/1558 | loss 0.0545 | data 0.1 ms | step 139.0 ms | 3682.5 samples/s
  step  1000/1558 | loss 0.0507 | data 0.1 ms | step 139.7 ms | 3665.3 samples/s
  step  1050/1558 | loss 0.0584 | data 0.1 ms | step 138.4 ms | 3700.1 samples/s
  step  1100/1558 | loss 0.0505 | data 0.1 ms | step 140.2 ms | 3651.8 samples/s
  step  1150/1558 | loss 0.0567 | data 0.1 ms | step 138.9 ms | 3685.9 samples/s
  step  1200/1558 | loss 0.0753 | data 0.1 ms | step 141.0 ms | 3630.8 samples/s
  step  1250/1558 | loss 0.0662 | data 0.1 ms | step 138.0 ms | 3711.0 samples/s
  step  1300/1558 | loss 0.0606 | data 0.1 ms | step 136.6 ms | 3747.9 samples/s
  step  1350/1558 | loss 0.0514 | data 0.1 ms | step 138.1 ms | 3707.3 samples/s
  step  1400/1558 | loss 0.0585 | data 0.1 ms | step 137.5 ms | 3725.0 samples/s
  step  1450/1558 | loss 0.0653 | data 0.1 ms | step 136.5 ms | 3751.7 samples/s
  step  1500/1558 | loss 0.0605 | data 0.1 ms | step 139.9 ms | 3659.8 samples/s
  step  1550/1558 | loss 0.0597 | data 0.1 ms | step 140.5 ms | 3644.1 samples/s
Train Loss: 0.0594
Epoch 8
  step    50/1558 | loss 0.0502 | data 5.6 ms | step 137.6 ms | 3721.3 samples/s
  step   100/1558 | loss 0.0457 | data 0.1 ms | step 138.5 ms | 3697.6 samples/s
  step   150/1558 | loss 0.0523 | data 0.1 ms | step 139.8 ms | 3661.2 samples/s
  step   200/1558 | loss 0.0499 | data 0.1 ms | step 141.7 ms | 3612.2 samples/s
  step   250/1558 | loss 0.0637 | data 0.1 ms | step 142.0 ms | 3605.9 samples/s
  step   300/1558 | loss 0.0547 | data 0.1 ms | step 145.6 ms | 3516.2 samples/s
  step   350/1558 | loss 0.0526 | data 0.1 ms | step 146.0 ms | 3505.8 samples/s
  step   400/1558 | loss 0.0654 | data 0.1 ms | step 146.2 ms | 3501.6 samples/s
